name,agu,district,code
"ST. MARY'S HSS, KIZHAKEKARA, KOLLAM",A,2,2083
"VELLIMON HSS, VELLIMON, KOLLAM",U,2,2084
"VHSS, MANJAPPARA, KOLLAM",U,2,2085
"JOHN F KENNADY M HSS KARUNAGAPPALLY, KOLLAM",U,2,2086
"LOURD MATHA HSS, KOVILTHOTTAM, KOLLAM",U,2,2087
"NEHRU MEMORIAL HSS, KAITHAKUZHY, KOLLAM",U,2,2088
"MOUNT CARMEL EM HSS, MATHILAKOM, KOLLAM",U,2,2089
"ST.JOHN'S HSS, KARUVELIL, EZHUKONE, KOLLAM",U,2,2090
"SDA HSS, KOTTARAKKARA, KOLLAM",U,2,2091
"SABARIGIRI HSS, ANCHAL, KOLLAM",U,2,2092
"MOUNT TABORE HSS, PATHANAPURAM, KOLLAM",U,2,2093
"RV HSS, VALAKOM, KOLLAM",U,2,2094
"TVTM HSS, VELIYAM, KOLLAM",U,2,2095
"VHSS, VAYANAKOM, KOLLAM",U,2,2096
"MUSLIM EDUCATIONAL ASSOCIATION E.M.HSS, KARIKKODU, KOLLAM , (1st Year only)",U,2,2097
"JAWAHAR HSS, AYUR, KOLLAM",A,2,2098
"AKMV HSS, THADIKKADU, ANCHAL, KOLLAM",U,2,2099
"GOVT. HSS, KOIKKAL, KOLLAM",G,2,2100
"TKDM GVHSS, KADAPPAKADA, KOLLAM",G,2,2101
"GOVT. HSS, PERINGALAM, KOLLAM",G,2,2102
"GOVT. HSS, ASHTAMUDY, KUNDARA, KOLLAM",G,2,2103
"GOVT. VHSS, PUNNALA, KOLLAM",G,2,2104
"GOVT. HSS, CHITHARA, KOLLAM",G,2,2105
"GOVT. HSS, MUTTARA, KOTTARAKKARA, KOLLAM",G,2,2106
"GOVT. HSS, NEDUMGOLAM, KOLLAM",G,2,2107
"GOVT. HSS, OACHIRA, KOLLAM",G,2,2108
"GOVT. HSS, YEROOR, KOLLAM",G,2,2109
"GOVT. HSS, THEVANNOOR, KOLLAM",G,2,2110
"GOVT. HSS, THODIYOOR, KOLLAM",G,2,2111
"GOVT. HSS, KULAKKADA, KOTTARAKKARA, KOLLAM",G,2,2112
"GOVT. HSS, PORUVAZHY, KUNNATHOOR, KOLLAM",G,2,2113
"GOVT. VHSS, KADAKKAL, KOLLAM",G,2,2114
"VAKKANAD GOVT. HSS, KOTTARAKKARA, KOLLAM",G,2,2115
"GOVT. HSS, PERINAD, KOLLAM",G,2,2116
"ANCHAL EAST GOVT. HSS, ANCHAL, KOLLAM",G,2,2118
"SADANANDAPURAM GOVT. HSS, KOLLAM",G,2,2119
"GOVT. HSS, QUILON WEST, KOLLAM",G,2,2120
"SN TRUST HSS, CHATHANNOOR, KOLLAM",A,2,2121
"SN TRUST HSS, PUNALUR, KOLLAM",A,2,2122
"TECHNICAL HSS, CHADAYAMANGALAM,KOLLAM.",T,2,2123
"D.V.V. HSS THALAVOOR, PATHANAPURAM, KOLLAM",U,2,2124
"ST. THOMAS HSS, PUNALUR, KOLLAM",U,2,2125
"MES ENGLISH MEDIUM HSS, PANMANAM, KOLLAM",U,2,2126
"SREENIKETAN HSS, CHATHANNOOR, KOLLAM",U,2,2127
"SREE NARAYANA EMHSS, KOLLAM",U,2,2128
